location_id,location
1,"Alabama"
2,"Alaska"
3,"Arizona"
4,"Arkansas"
5,"California"
6,"Colorado"
7,"Connecticut"
8,"Delaware"
9,"District of Columbia"
10,"Florida"
11,"Georgia"
12,"Guam"
13,"Hawaii"
14,"Idaho"
15,"Illinois"
16,"Indiana"
17,"Iowa"
18,"Kansas"
19,"Kentucky"
20,"Louisiana"
21,"Maine"
22,"Maryland"
23,"Massachusetts"
24,"Michigan"
25,"Minnesota"
26,"Mississippi"
27,"Missouri"
28,"Montana"
29,"Nebraska"
30,"Nevada"
31,"New Hampshire"
32,"New Jersey"
33,"New Mexico"
34,"New York"
35,"North Carolina"
36,"North Dakota"
37,"Ohio"
38,"Oklahoma"
39,"Oregon"
40,"Pennsylvania"
41,"Puerto Rico"
42,"Rhode Island"
43,"South Carolina"
44,"South Dakota"
45,"Tennessee"
46,"Texas"
47,"United States"
48,"Utah"
49,"Vermont"
50,"Virgin Islands"
51,"Virginia"
52,"Washington"
53,"West Virginia"
54,"Wisconsin"
55,"Wyoming"
